frame,id,cx,cy,x,y,w,h,proc_ms
0,0,769,281,727,238,85,86,599.226
1,0,769,281,727,238,85,86,13.593
2,0,768,281,726,238,85,86,13.022
3,0,768,281,726,238,85,86,10.754
4,0,768,281,726,238,85,86,10.062
5,0,768,281,726,238,85,86,10.132
6,0,768,281,726,238,85,86,12.96
7,0,768,281,726,238,85,86,12.445
8,0,768,281,726,238,85,86,11.84
9,0,768,281,726,238,85,86,10.491
10,0,768,281,726,238,85,86,319.384
11,0,768,281,726,238,85,86,10.435
12,0,768,281,726,238,85,86,10.268
13,0,768,281,726,238,85,86,9.977
14,0,768,281,726,238,85,86,9.47
15,0,768,281,726,238,85,86,11.083
16,0,767,281,725,238,85,86,10.507
17,0,768,281,726,238,85,86,10.065
18,0,767,281,725,238,85,86,12.428
19,0,768,281,726,238,85,86,12.743
20,0,767,281,725,238,85,86,307.672
21,0,768,281,726,238,85,86,9.524
22,0,767,281,725,238,85,86,9.394
23,0,768,281,726,238,85,86,8.897
24,0,767,281,725,238,85,86,10.749
25,0,768,281,726,238,85,86,9.288
26,0,767,281,725,238,85,86,10.396
27,0,768,281,726,238,85,86,9.808
28,0,767,281,725,238,85,86,9.904
29,0,768,281,726,238,85,86,9.109
30,0,767,281,725,238,85,86,170.584
31,0,768,281,726,238,85,86,10.343
32,0,767,281,725,238,85,86,9.617
33,0,768,281,726,238,85,86,8.661
34,0,767,281,725,238,85,86,8.604
35,0,768,281,726,238,85,86,9.379
36,0,767,281,725,238,85,86,9.653
37,0,768,281,726,238,85,86,9.46
38,0,767,281,725,238,85,86,9.794
39,0,768,281,726,238,85,86,9.403
40,0,767,281,725,238,85,86,193.638
41,0,768,281,726,238,85,86,9.352
42,0,767,281,725,238,85,86,15.417
43,0,768,281,726,238,85,86,9.518
44,0,767,281,725,238,85,86,10.491
45,0,768,281,726,238,85,86,12.072
46,0,767,281,725,238,85,86,9.565
47,0,768,281,726,238,85,86,9.912
48,0,767,281,725,238,85,86,9.047
49,0,768,281,726,238,85,86,8.402
50,0,767,281,725,238,85,86,190.413
51,0,768,281,726,238,85,86,7.986
52,0,767,281,725,238,85,86,8.676
53,0,768,281,726,238,85,86,8.452
54,0,767,281,725,238,85,86,8.198
55,0,768,281,726,238,85,86,9.265
56,0,767,281,725,238,85,86,8.302
57,0,768,281,726,238,85,86,9.185
58,0,767,281,725,238,85,86,8.65
59,0,768,281,726,238,85,86,8.355
60,0,767,281,725,238,85,86,259.751
61,0,768,281,726,238,85,86,9.902
62,0,767,281,725,238,85,86,10.612
63,0,768,281,726,238,85,86,9.985
64,0,767,281,725,238,85,86,8.561
65,0,768,281,726,238,85,86,9.437
66,0,767,281,725,238,85,86,8.767
67,0,768,281,726,238,85,86,8.772
68,0,767,281,725,238,85,86,9.724
69,0,768,281,726,238,85,86,9.047
70,0,767,281,725,238,85,86,198.745
71,0,768,281,726,238,85,86,8.773
72,0,767,281,725,238,85,86,9.728
73,0,768,281,726,238,85,86,12.619
74,0,767,281,725,238,85,86,10.561
75,0,768,281,726,238,85,86,10.548
76,0,767,281,725,238,85,86,9.564
77,0,768,281,726,238,85,86,8.78
78,0,767,281,725,238,85,86,8.664
79,0,768,281,726,238,85,86,8.328
80,0,767,281,725,238,85,86,194.069
81,0,768,281,726,238,85,86,8.022
82,0,767,281,725,238,85,86,8.951
83,0,768,281,726,238,85,86,9.296
84,0,767,281,725,238,85,86,8.529
85,0,768,281,726,238,85,86,8.312
86,0,767,281,725,238,85,86,8.248
87,0,768,281,726,238,85,86,9.607
88,0,767,281,725,238,85,86,8.959
89,0,768,281,726,238,85,86,9.438
90,0,767,281,725,238,85,86,246.344
91,0,768,281,726,238,85,86,7.943
92,0,767,281,725,238,85,86,8.762
93,0,768,281,726,238,85,86,8.461
94,0,767,281,725,238,85,86,8.853
95,0,768,281,726,238,85,86,8.248
96,0,767,281,725,238,85,86,14.924
97,0,768,281,726,238,85,86,9.913
98,0,767,281,725,238,85,86,9.22
99,0,768,281,726,238,85,86,8.709
100,0,767,281,725,238,85,86,176.799
101,0,768,281,726,238,85,86,8.822
102,0,767,281,725,238,85,86,10.224
103,0,768,281,726,238,85,86,10.712
104,0,767,281,725,238,85,86,13.624
105,0,768,281,726,238,85,86,10.63
106,0,767,281,725,238,85,86,10.742
107,0,768,281,726,238,85,86,9.761
108,0,767,281,725,238,85,86,10.05
109,0,768,281,726,238,85,86,9.113
110,0,767,281,725,238,85,86,208.859
111,0,768,281,726,238,85,86,8.151
112,0,767,281,725,238,85,86,8.458
113,0,768,281,726,238,85,86,8.435
114,0,767,281,725,238,85,86,8.629
115,0,768,281,726,238,85,86,9.422
116,0,767,281,725,238,85,86,8.357
117,0,768,281,726,238,85,86,8.382
118,0,767,281,725,238,85,86,9.221
119,0,768,281,726,238,85,86,8.674
120,0,767,281,725,238,85,86,311.176
121,0,768,281,726,238,85,86,8.105
122,0,767,281,725,238,85,86,8.408
123,0,768,281,726,238,85,86,8.248
124,0,767,281,725,238,85,86,9.574
125,0,768,281,726,238,85,86,10.354
126,0,767,281,725,238,85,86,8.302
127,0,768,281,726,238,85,86,9.585
128,0,767,281,725,238,85,86,8.953
129,0,768,281,726,238,85,86,9.096
130,0,767,281,725,238,85,86,205.851
131,0,768,281,726,238,85,86,7.809
132,0,767,281,725,238,85,86,8.609
133,0,768,281,726,238,85,86,7.972
134,0,767,281,725,238,85,86,8.615
135,0,768,281,726,238,85,86,8.17
136,0,767,281,725,238,85,86,8.38
137,0,768,281,726,238,85,86,7.883
138,0,767,281,725,238,85,86,8.181
139,0,768,281,726,238,85,86,8.417
140,0,767,281,725,238,85,86,214.467
141,0,768,281,726,238,85,86,8.782
142,0,767,281,725,238,85,86,9.051
143,0,768,281,726,238,85,86,8.626
144,0,767,281,725,238,85,86,8.839
145,0,768,281,726,238,85,86,8.956
146,0,767,281,725,238,85,86,9.045
147,0,768,281,726,238,85,86,9.849
148,0,767,281,725,238,85,86,9.52
149,0,768,281,726,238,85,86,16.36
150,0,767,281,725,238,85,86,170.034
151,0,768,281,726,238,85,86,8.251
152,0,767,281,725,238,85,86,9.514
153,0,768,281,726,238,85,86,9.168
154,0,767,281,725,238,85,86,8.145
155,0,768,281,726,238,85,86,10.03
156,0,767,281,725,238,85,86,8.958
157,0,768,281,726,238,85,86,9.027
158,0,767,281,725,238,85,86,10.156
159,0,768,281,726,238,85,86,10.103
160,0,767,281,725,238,85,86,186.871
161,0,768,281,726,238,85,86,7.741
162,0,767,281,725,238,85,86,8.729
163,0,768,281,726,238,85,86,8.558
164,0,767,281,725,238,85,86,8.611
165,0,768,281,726,238,85,86,8.256
166,0,767,281,725,238,85,86,8.22
167,0,768,281,726,238,85,86,8.615
168,0,767,281,725,238,85,86,8.745
169,0,768,281,726,238,85,86,8.246
170,0,767,281,725,238,85,86,210.014
171,0,768,281,726,238,85,86,8.555
172,0,767,281,725,238,85,86,8.053
173,0,768,281,726,238,85,86,8.671
174,0,767,281,725,238,85,86,16.043
175,0,768,281,726,238,85,86,10.987
176,0,767,281,725,238,85,86,10.133
177,0,768,281,726,238,85,86,9.25
178,0,767,281,725,238,85,86,9.916
179,0,768,281,726,238,85,86,10.177
180,0,767,281,725,238,85,86,206.425
181,0,768,281,726,238,85,86,7.954
182,0,767,281,725,238,85,86,8.296
183,0,768,281,726,238,85,86,7.735
184,0,767,281,725,238,85,86,8.564
185,0,768,281,726,238,85,86,8.492
186,0,767,281,725,238,85,86,9.096
187,0,768,281,726,238,85,86,8.647
188,0,767,281,725,238,85,86,8.746
189,0,768,281,726,238,85,86,8.78
190,0,767,281,725,238,85,86,257.981
191,0,768,281,726,238,85,86,9.144
192,0,767,281,725,238,85,86,9.788
193,0,768,281,726,238,85,86,8.915
194,0,767,281,725,238,85,86,9.246
195,0,768,281,726,238,85,86,8.572
196,0,767,281,725,238,85,86,9.287
197,0,768,281,726,238,85,86,7.901
198,0,767,281,725,238,85,86,9.198
199,0,768,281,726,238,85,86,8.143
200,0,767,281,725,238,85,86,169.606
201,0,768,281,726,238,85,86,7.604
202,0,767,281,725,238,85,86,8.928
203,0,768,281,726,238,85,86,8.303
204,0,767,281,725,238,85,86,8.553
205,0,768,281,726,238,85,86,7.98
206,0,767,281,725,238,85,86,9.013
207,0,768,281,726,238,85,86,8.758
208,0,767,281,725,238,85,86,8.813
209,0,768,281,726,238,85,86,8.883
210,0,767,281,725,238,85,86,155.567
211,0,768,281,726,238,85,86,7.684
212,0,767,281,725,238,85,86,8.96
213,0,768,281,726,238,85,86,9.509
214,0,767,281,725,238,85,86,8.05
215,0,768,281,726,238,85,86,7.963
216,0,767,281,725,238,85,86,7.741
217,0,768,281,726,238,85,86,8.399
218,0,767,281,725,238,85,86,9.411
219,0,768,281,726,238,85,86,8.054
220,0,767,281,725,238,85,86,183.274
221,0,768,281,726,238,85,86,9.899
222,0,767,281,725,238,85,86,10.354
223,0,768,281,726,238,85,86,9.272
224,0,767,281,725,238,85,86,8.451
225,0,768,281,726,238,85,86,9.024
226,0,767,281,725,238,85,86,11.111
227,0,768,281,726,238,85,86,9.422
228,0,767,281,725,238,85,86,9.036
229,0,768,281,726,238,85,86,8.782
230,0,767,281,725,238,85,86,142.314
231,0,768,281,726,238,85,86,9.409
232,0,767,281,725,238,85,86,9.405
233,0,768,281,726,238,85,86,8.433
234,0,767,281,725,238,85,86,9.374
235,0,768,281,726,238,85,86,8.94
236,0,767,281,725,238,85,86,8.777
237,0,768,281,726,238,85,86,8.684
238,0,767,281,725,238,85,86,9.572
239,0,768,281,726,238,85,86,8.86
240,0,767,281,725,238,85,86,171.211
241,0,768,281,726,238,85,86,8.948
242,0,767,281,725,238,85,86,9.703
243,0,768,281,726,238,85,86,9.912
244,0,767,281,725,238,85,86,11.111
245,0,768,281,726,238,85,86,9.189
246,0,767,281,725,238,85,86,9.053
247,0,768,281,726,238,85,86,8.229
248,0,767,281,725,238,85,86,9.188
249,0,768,281,726,238,85,86,8.654
250,0,767,281,725,238,85,86,182.537
251,0,768,281,726,238,85,86,8.26
