frame,id,cx,cy,x,y,w,h,proc_ms
0,0,769,281,727,238,85,86,679.864
1,0,769,281,727,238,85,86,14.751
2,0,768,281,726,238,85,86,11.669
3,0,768,281,726,238,85,86,11.364
4,0,768,281,726,238,85,86,9.221
5,0,768,281,726,238,85,86,8.984
6,0,768,281,726,238,85,86,12.066
7,0,768,281,726,238,85,86,12.87
8,0,768,281,726,238,85,86,12.451
9,0,768,281,726,238,85,86,10.994
10,0,768,281,726,238,85,86,319.232
11,0,768,281,726,238,85,86,10.668
12,0,768,281,726,238,85,86,10.331
13,0,768,281,726,238,85,86,10.582
14,0,768,281,726,238,85,86,11.243
15,0,768,281,726,238,85,86,12.107
16,0,767,281,725,238,85,86,14.473
17,0,768,281,726,238,85,86,9.084
18,0,767,281,725,238,85,86,9.429
19,0,768,281,726,238,85,86,9.758
20,0,767,281,725,238,85,86,324.087
21,0,768,281,726,238,85,86,10.675
22,0,767,281,725,238,85,86,11.602
23,0,768,281,726,238,85,86,12.237
24,0,767,281,725,238,85,86,19.166
25,0,768,281,726,238,85,86,15.165
26,0,767,281,725,238,85,86,16.821
27,0,768,281,726,238,85,86,13.089
28,0,767,281,725,238,85,86,11.339
29,0,768,281,726,238,85,86,12.002
30,0,767,281,725,238,85,86,204.328
31,0,768,281,726,238,85,86,10.173
32,0,767,281,725,238,85,86,10.223
33,0,768,281,726,238,85,86,10.154
34,0,767,281,725,238,85,86,10.081
35,0,768,281,726,238,85,86,10.98
36,0,767,281,725,238,85,86,10.897
37,0,768,281,726,238,85,86,9.294
38,0,767,281,725,238,85,86,10.229
39,0,768,281,726,238,85,86,9.407
40,0,767,281,725,238,85,86,204.575
41,0,768,281,726,238,85,86,9.273
42,0,767,281,725,238,85,86,9.518
43,0,768,281,726,238,85,86,10.456
44,0,767,281,725,238,85,86,9.372
45,0,768,281,726,238,85,86,10.755
46,0,767,281,725,238,85,86,9.976
47,0,768,281,726,238,85,86,9.256
48,0,767,281,725,238,85,86,11.188
49,0,768,281,726,238,85,86,10.589
50,0,767,281,725,238,85,86,241.22
51,0,768,281,726,238,85,86,12.027
52,0,767,281,725,238,85,86,11.112
53,0,768,281,726,238,85,86,10.023
54,0,767,281,725,238,85,86,13.289
55,0,768,281,726,238,85,86,10.63
56,0,767,281,725,238,85,86,12.937
57,0,768,281,726,238,85,86,12.169
58,0,767,281,725,238,85,86,13.12
59,0,768,281,726,238,85,86,13.017
60,0,767,281,725,238,85,86,295.786
61,0,768,281,726,238,85,86,12.412
62,0,767,281,725,238,85,86,10.437
63,0,768,281,726,238,85,86,11.162
64,0,767,281,725,238,85,86,12.529
65,0,768,281,726,238,85,86,10.293
66,0,767,281,725,238,85,86,12.192
67,0,768,281,726,238,85,86,14.296
68,0,767,281,725,238,85,86,14.184
69,0,768,281,726,238,85,86,13.686
70,0,767,281,725,238,85,86,343.714
71,0,768,281,726,238,85,86,10.962
72,0,767,281,725,238,85,86,10.605
73,0,768,281,726,238,85,86,9.827
74,0,767,281,725,238,85,86,9.599
75,0,768,281,726,238,85,86,9.874
76,0,767,281,725,238,85,86,9.628
77,0,768,281,726,238,85,86,11.419
78,0,767,281,725,238,85,86,9.388
79,0,768,281,726,238,85,86,9.648
80,0,767,281,725,238,85,86,250.328
81,0,768,281,726,238,85,86,13.228
