frame,id,cx,cy,x,y,w,h,proc_ms
117,0,1101,300,1069,236,65,129,138.534
118,0,1101,300,1069,236,65,129,5.951
119,0,1100,300,1068,236,65,129,6.042
120,0,1100,300,1068,236,65,129,150.653
121,0,1100,300,1068,236,65,129,5.571
122,0,1100,300,1068,236,65,129,5.437
123,0,1100,300,1068,236,65,129,5.478
124,0,1100,300,1068,236,65,129,5.722
125,0,1100,300,1068,236,65,129,5.944
126,0,1100,300,1068,236,65,129,5.936
127,0,1100,300,1068,236,65,129,5.94
128,0,1100,299,1068,235,65,129,6.017
129,0,1100,300,1068,236,65,129,6.024
130,0,1100,299,1068,235,65,129,128.09
131,0,1100,300,1068,236,65,129,8.314
132,0,1100,299,1068,235,65,129,7.012
133,0,1099,300,1067,236,65,129,6.154
134,0,1100,299,1068,235,65,129,6.077
135,0,1099,300,1067,236,65,129,5.793
136,0,1100,299,1068,235,65,129,5.874
137,0,1099,300,1067,236,65,129,5.993
138,0,1100,299,1068,235,65,129,5.458
139,0,1099,300,1067,236,65,129,5.766
140,0,1100,299,1068,235,65,129,139.311
141,0,1099,300,1067,236,65,129,5.498
142,0,1100,299,1068,235,65,129,5.323
143,0,1099,300,1067,236,65,129,5.397
144,0,1100,299,1068,235,65,129,5.661
145,0,1099,300,1067,236,65,129,5.473
146,0,1100,299,1068,235,65,129,6.279
147,0,1099,300,1067,236,65,129,5.499
148,0,1100,299,1068,235,65,129,5.895
149,0,1099,300,1067,236,65,129,5.666
150,0,1100,299,1068,235,65,129,125.356
151,0,1099,300,1067,236,65,129,5.967
152,0,1100,299,1068,235,65,129,5.929
153,0,1099,300,1067,236,65,129,6.116
154,0,1100,299,1068,235,65,129,5.538
155,0,1099,300,1067,236,65,129,5.568
156,0,1100,299,1068,235,65,129,6.459
157,0,1099,300,1067,236,65,129,5.393
158,0,1100,299,1068,235,65,129,5.568
159,0,1099,300,1067,236,65,129,5.577
160,0,1100,299,1068,235,65,129,129.873
161,0,1099,300,1067,236,65,129,5.996
162,0,1100,299,1068,235,65,129,5.871
163,0,1099,300,1067,236,65,129,5.674
164,0,1100,299,1068,235,65,129,5.653
165,0,1099,300,1067,236,65,129,5.681
166,0,1100,299,1068,235,65,129,5.581
167,0,1099,300,1067,236,65,129,6.742
168,0,1100,299,1068,235,65,129,5.88
169,0,1099,300,1067,236,65,129,6.654
170,0,1100,299,1068,235,65,129,108.425
171,0,1099,300,1067,236,65,129,7.075
172,0,1100,299,1068,235,65,129,6.29
173,0,1099,300,1067,236,65,129,5.93
174,0,1100,299,1068,235,65,129,5.832
175,0,1099,300,1067,236,65,129,5.782
176,0,1100,299,1068,235,65,129,6.208
177,0,1099,300,1067,236,65,129,6.014
178,0,1100,299,1068,235,65,129,5.652
179,0,1099,300,1067,236,65,129,5.816
180,0,1100,299,1068,235,65,129,126.698
181,0,1099,300,1067,236,65,129,6.132
182,0,1100,299,1068,235,65,129,7.105
183,0,1099,300,1067,236,65,129,6.657
184,0,1100,299,1068,235,65,129,6.176
185,0,1099,300,1067,236,65,129,5.692
186,0,1100,299,1068,235,65,129,7.727
187,0,1099,300,1067,236,65,129,6.208
188,0,1100,299,1068,235,65,129,5.93
189,0,1099,300,1067,236,65,129,5.392
190,0,1100,299,1068,235,65,129,126.071
191,0,1099,300,1067,236,65,129,7.947
192,0,1100,299,1068,235,65,129,6.935
