frame,id,cx,cy,x,y,w,h,proc_ms
0,0,769,281,727,238,85,86,749.858
1,0,769,281,727,238,85,86,15.879
2,0,768,281,726,238,85,86,13.668
3,0,768,281,726,238,85,86,15.574
4,0,768,281,726,238,85,86,14.501
5,0,768,281,726,238,85,86,12.495
6,0,768,281,726,238,85,86,13.028
7,0,768,281,726,238,85,86,12.48
8,0,768,281,726,238,85,86,12.914
9,0,768,281,726,238,85,86,12.818
10,0,768,281,726,238,85,86,422.787
11,0,768,281,726,238,85,86,12.569
12,0,768,281,726,238,85,86,13.827
13,0,768,281,726,238,85,86,12.131
14,0,768,281,726,238,85,86,14.067
15,0,768,281,726,238,85,86,14.789
16,0,767,281,725,238,85,86,13.062
17,0,768,281,726,238,85,86,12.649
18,0,767,281,725,238,85,86,12.158
19,0,768,281,726,238,85,86,13.599
20,0,767,281,725,238,85,86,471.417
21,0,768,281,726,238,85,86,14.075
22,0,767,281,725,238,85,86,14.256
23,0,768,281,726,238,85,86,14.819
24,0,767,281,725,238,85,86,16.421
25,0,768,281,726,238,85,86,15.926
26,0,767,281,725,238,85,86,12.543
27,0,768,281,726,238,85,86,13.627
28,0,767,281,725,238,85,86,13.545
29,0,768,281,726,238,85,86,13.182
30,0,767,281,725,238,85,86,299.584
31,0,768,281,726,238,85,86,12.631
32,0,767,281,725,238,85,86,13.671
33,0,768,281,726,238,85,86,11.308
34,0,767,281,725,238,85,86,13.711
35,0,768,281,726,238,85,86,12.683
36,0,767,281,725,238,85,86,13.749
37,0,768,281,726,238,85,86,12.063
38,0,767,281,725,238,85,86,11.942
39,0,768,281,726,238,85,86,12.978
40,0,767,281,725,238,85,86,327.346
41,0,768,281,726,238,85,86,11.529
42,0,767,281,725,238,85,86,11.64
43,0,768,281,726,238,85,86,14.357
44,0,767,281,725,238,85,86,12.228
45,0,768,281,726,238,85,86,12.289
46,0,767,281,725,238,85,86,12.232
47,0,768,281,726,238,85,86,11.894
48,0,767,281,725,238,85,86,11.11
49,0,768,281,726,238,85,86,11.647
50,0,767,281,725,238,85,86,307.209
51,0,768,281,726,238,85,86,11.55
52,0,767,281,725,238,85,86,11.846
53,0,768,281,726,238,85,86,12.583
54,0,767,281,725,238,85,86,11.513
55,0,768,281,726,238,85,86,12.578
56,0,767,281,725,238,85,86,11.962
57,0,768,281,726,238,85,86,12.068
58,0,767,281,725,238,85,86,11.651
59,0,768,281,726,238,85,86,11.961
60,0,767,281,725,238,85,86,381.273
61,0,768,281,726,238,85,86,13.719
62,0,767,281,725,238,85,86,12.168
63,0,768,281,726,238,85,86,11.815
64,0,767,281,725,238,85,86,11.883
65,0,768,281,726,238,85,86,11.84
66,0,767,281,725,238,85,86,11.602
67,0,768,281,726,238,85,86,11.449
68,0,767,281,725,238,85,86,12.113
69,0,768,281,726,238,85,86,12.318
70,0,767,281,725,238,85,86,306.266
71,0,768,281,726,238,85,86,11.724
72,0,767,281,725,238,85,86,11.563
73,0,768,281,726,238,85,86,11.507
74,0,767,281,725,238,85,86,11.473
75,0,768,281,726,238,85,86,12.055
76,0,767,281,725,238,85,86,11.678
77,0,768,281,726,238,85,86,14.104
78,0,767,281,725,238,85,86,16.154
79,0,768,281,726,238,85,86,11.655
80,0,767,281,725,238,85,86,334.723
81,0,768,281,726,238,85,86,12.076
82,0,767,281,725,238,85,86,11.73
83,0,768,281,726,238,85,86,11.892
84,0,767,281,725,238,85,86,11.819
85,0,768,281,726,238,85,86,13.065
86,0,767,281,725,238,85,86,11.624
87,0,768,281,726,238,85,86,11.531
88,0,767,281,725,238,85,86,11.45
89,0,768,281,726,238,85,86,12.238
90,0,767,281,725,238,85,86,419.116
