frame,id,cx,cy,x,y,w,h,proc_ms
6,0,1477,380,1449,339,56,83,157.312
7,0,1477,380,1449,339,56,83,11.814
8,0,1477,380,1449,339,56,83,10.768
9,0,1477,380,1449,339,56,83,9.89
10,0,1477,380,1449,339,56,83,191.762
11,0,1477,380,1449,339,56,83,9.542
12,0,1477,380,1449,339,56,83,9.288
13,0,1477,380,1449,339,56,83,11.346
14,0,1477,380,1449,339,56,83,10.037
15,0,1477,380,1449,339,56,83,9.483
16,0,1477,380,1449,339,56,83,10.791
17,0,1477,380,1449,339,56,83,10.549
18,0,1477,380,1449,339,56,83,9.836
19,0,1477,380,1449,339,56,83,10.032
20,0,1477,380,1449,339,56,83,155.781
21,0,1477,380,1449,339,56,83,11.602
22,0,1477,380,1449,339,56,83,10.1
23,0,1477,380,1449,339,56,83,9.686
24,0,1477,380,1449,339,56,83,9.373
25,0,1477,380,1449,339,56,83,10.212
26,0,1477,380,1449,339,56,83,10.479
27,0,1477,380,1449,339,56,83,11.277
28,0,1477,380,1449,339,56,83,10.48
29,0,1477,380,1449,339,56,83,9.652
30,0,1477,380,1449,339,56,83,152.566
31,0,1477,380,1449,339,56,83,11.068
32,0,1477,380,1449,339,56,83,11.379
33,0,1477,380,1449,339,56,83,11.732
34,0,1477,380,1449,339,56,83,10.778
35,0,1477,380,1449,339,56,83,10.651
36,0,1477,380,1449,339,56,83,11.503
37,0,1477,380,1449,339,56,83,11.162
38,0,1477,380,1449,339,56,83,10.405
39,0,1477,380,1449,339,56,83,10.831
40,0,1477,380,1449,339,56,83,131.062
41,0,1477,380,1449,339,56,83,10.26
42,0,1477,380,1449,339,56,83,10.251
43,0,1477,380,1449,339,56,83,10.453
44,0,1477,380,1449,339,56,83,10.041
45,0,1477,380,1449,339,56,83,10.403
46,0,1477,380,1449,339,56,83,10.274
47,0,1477,380,1449,339,56,83,9.681
48,0,1477,380,1449,339,56,83,9.7
49,0,1477,380,1449,339,56,83,10.691
50,0,1477,380,1449,339,56,83,163.63
51,0,1477,380,1449,339,56,83,9.82
52,0,1477,380,1449,339,56,83,10.437
53,0,1477,380,1449,339,56,83,9.888
54,0,1477,380,1449,339,56,83,10.763
55,0,1477,380,1449,339,56,83,10.379
56,0,1477,380,1449,339,56,83,10.635
57,0,1477,380,1449,339,56,83,10.26
58,0,1477,380,1449,339,56,83,10.267
59,0,1477,380,1449,339,56,83,10.604
60,0,1477,380,1449,339,56,83,176.793
61,0,1477,380,1449,339,56,83,10.932
62,0,1477,380,1449,339,56,83,10.332
63,0,1477,380,1449,339,56,83,10.145
64,0,1477,380,1449,339,56,83,10.606
65,0,1477,380,1449,339,56,83,10.078
66,0,1477,380,1449,339,56,83,10.35
67,0,1477,380,1449,339,56,83,9.931
68,0,1477,380,1449,339,56,83,10.245
69,0,1477,380,1449,339,56,83,10.986
70,0,1477,380,1449,339,56,83,198.612
71,0,1477,380,1449,339,56,83,12.225
72,0,1477,380,1449,339,56,83,11.577
73,0,1477,380,1449,339,56,83,10.458
74,0,1477,380,1449,339,56,83,10.896
75,0,1477,380,1449,339,56,83,11.452
76,0,1477,380,1449,339,56,83,10.653
77,0,1477,380,1449,339,56,83,10.03
78,0,1477,380,1449,339,56,83,11.794
79,0,1477,380,1449,339,56,83,11.505
80,0,1477,380,1449,339,56,83,211.188
81,0,1477,380,1449,339,56,83,10.917
