frame,id,cx,cy,x,y,w,h,proc_ms
31,0,284,468,212,442,144,52,174.399
32,0,284,468,212,442,144,52,4.369
33,0,284,468,212,442,144,52,4.608
34,0,284,468,212,442,144,52,4.478
35,0,284,468,212,442,144,52,4.382
36,0,284,468,212,442,144,52,4.958
37,0,284,468,212,442,144,52,4.577
38,0,284,468,212,442,144,52,3.817
39,0,284,468,212,442,144,52,4.219
40,0,284,468,212,442,144,52,158.028
41,0,284,468,212,442,144,52,4.474
42,0,284,468,212,442,144,52,4.112
43,0,284,468,212,442,144,52,4.333
44,0,284,468,212,442,144,52,4.552
45,0,284,468,212,442,144,52,6.082
46,0,284,468,212,442,144,52,4.909
47,0,284,468,212,442,144,52,4.917
48,0,284,468,212,442,144,52,4.192
49,0,284,468,212,442,144,52,4.49
50,0,284,468,212,442,144,52,117.82
51,0,284,468,212,442,144,52,4.606
52,0,284,468,212,442,144,52,4.999
53,0,284,468,212,442,144,52,5.142
54,0,284,468,212,442,144,52,4.796
55,0,284,468,212,442,144,52,5.164
56,0,284,468,212,442,144,52,3.944
57,0,284,468,212,442,144,52,4.329
58,0,284,468,212,442,144,52,5.014
59,0,284,468,212,442,144,52,4.628
60,0,284,468,212,442,144,52,135.27
61,0,284,468,212,442,144,52,4.807
62,0,284,468,212,442,144,52,4.564
63,0,284,468,212,442,144,52,5.21
64,0,284,468,212,442,144,52,4.988
65,0,284,468,212,442,144,52,4.543
66,0,284,468,212,442,144,52,4.077
67,0,284,468,212,442,144,52,4.252
68,0,284,468,212,442,144,52,5.023
69,0,284,468,212,442,144,52,4.627
70,0,284,468,212,442,144,52,169.638
71,0,284,468,212,442,144,52,4.832
72,0,284,468,212,442,144,52,4.241
73,0,284,468,212,442,144,52,5.908
74,0,284,468,212,442,144,52,5.178
75,0,284,468,212,442,144,52,4.278
76,0,284,468,212,442,144,52,4.107
77,0,284,468,212,442,144,52,4.497
78,0,284,468,212,442,144,52,5.412
79,0,284,468,212,442,144,52,6.184
80,0,284,468,212,442,144,52,192.609
81,0,284,468,212,442,144,52,4.788
82,0,284,468,212,442,144,52,4.07
83,0,284,468,212,442,144,52,4.087
84,0,284,468,212,442,144,52,4.252
85,0,284,468,212,442,144,52,4.634
86,0,284,468,212,442,144,52,5.582
87,0,284,468,212,442,144,52,4.675
88,0,284,468,212,442,144,52,4.953
89,0,284,468,212,442,144,52,4.312
90,0,284,468,212,442,144,52,136.136
91,0,284,468,212,442,144,52,4.287
92,0,284,468,212,442,144,52,4.277
93,0,284,468,212,442,144,52,4.934
94,0,284,468,212,442,144,52,5.005
95,0,284,468,212,442,144,52,4.924
96,0,284,468,212,442,144,52,4.694
97,0,284,468,212,442,144,52,3.933
98,0,284,468,212,442,144,52,4.506
99,0,284,468,212,442,144,52,4.387
100,0,284,468,212,442,144,52,134.756
101,0,284,468,212,442,144,52,4.28
102,0,284,468,212,442,144,52,4.338
103,0,284,468,212,442,144,52,4.835
104,0,284,468,212,442,144,52,5.079
105,0,284,468,212,442,144,52,4.289
106,0,284,468,212,442,144,52,3.984
107,0,284,468,212,442,144,52,4.622
108,0,284,468,212,442,144,52,4.52
109,0,284,468,212,442,144,52,4.873
110,0,284,468,212,442,144,52,145.663
111,0,284,468,212,442,144,52,4.853
112,0,284,468,212,442,144,52,4.918
113,0,284,468,212,442,144,52,4.136
114,0,284,468,212,442,144,52,4.422
115,0,284,468,212,442,144,52,4.892
116,0,284,468,212,442,144,52,4.562
117,0,284,468,212,442,144,52,4.377
118,0,284,468,212,442,144,52,5.098
119,0,284,468,212,442,144,52,4.629
120,0,284,468,212,442,144,52,163.69
121,0,284,468,212,442,144,52,5.118
122,0,284,468,212,442,144,52,4.25
123,0,284,468,212,442,144,52,4.126
124,0,284,468,212,442,144,52,4.712
125,0,284,468,212,442,144,52,4.858
126,0,284,468,212,442,144,52,4.219
127,0,284,468,212,442,144,52,4.979
128,0,284,468,212,442,144,52,4.692
129,0,284,468,212,442,144,52,4.926
130,0,284,468,212,442,144,52,137.132
131,0,284,468,212,442,144,52,4.888
132,0,284,468,212,442,144,52,4.758
133,0,284,468,212,442,144,52,4.173
134,0,284,468,212,442,144,52,4.005
135,0,284,468,212,442,144,52,6.094
136,0,284,468,212,442,144,52,4.639
137,0,284,468,212,442,144,52,4.718
138,0,284,468,212,442,144,52,4.083
139,0,284,468,212,442,144,52,4.574
140,0,284,468,212,442,144,52,151.06
141,0,284,468,212,442,144,52,5.055
142,0,284,468,212,442,144,52,5.495
143,0,284,468,212,442,144,52,5.253
144,0,284,468,212,442,144,52,4.796
