frame,id,cx,cy,x,y,w,h,proc_ms
0,0,769,281,727,238,85,86,444.333
1,0,769,281,727,238,85,86,16.138
2,0,768,281,726,238,85,86,13.384
3,0,768,281,726,238,85,86,10.75
4,0,768,281,726,238,85,86,10.359
5,0,768,281,726,238,85,86,16.524
6,0,768,281,726,238,85,86,16.32
7,0,768,281,726,238,85,86,11.782
8,0,768,281,726,238,85,86,10.18
9,0,768,281,726,238,85,86,10.07
10,0,768,281,726,238,85,86,293.206
11,0,768,281,726,238,85,86,11.15
12,0,768,281,726,238,85,86,9.136
13,0,768,281,726,238,85,86,9.065
14,0,768,281,726,238,85,86,11.363
15,0,768,281,726,238,85,86,9.168
16,0,767,281,725,238,85,86,8.82
17,0,768,281,726,238,85,86,10.473
18,0,767,281,725,238,85,86,9.791
19,0,768,281,726,238,85,86,9.449
20,0,767,281,725,238,85,86,354.408
21,0,768,281,726,238,85,86,10.661
22,0,767,281,725,238,85,86,9.087
23,0,768,281,726,238,85,86,9.277
24,0,767,281,725,238,85,86,9.987
25,0,768,281,726,238,85,86,9.796
26,0,767,281,725,238,85,86,9.015
27,0,768,281,726,238,85,86,9.683
28,0,767,281,725,238,85,86,8.932
29,0,768,281,726,238,85,86,8.776
30,0,767,281,725,238,85,86,197.17
31,0,768,281,726,238,85,86,9.707
32,0,767,281,725,238,85,86,9.896
33,0,768,281,726,238,85,86,9.631
34,0,767,281,725,238,85,86,9.649
35,0,768,281,726,238,85,86,9.64
36,0,767,281,725,238,85,86,8.85
37,0,768,281,726,238,85,86,8.786
38,0,767,281,725,238,85,86,9.253
39,0,768,281,726,238,85,86,8.95
40,0,767,281,725,238,85,86,222.193
41,0,768,281,726,238,85,86,13.161
42,0,767,281,725,238,85,86,12.639
43,0,768,281,726,238,85,86,11.359
44,0,767,281,725,238,85,86,12.564
45,0,768,281,726,238,85,86,13.179
46,0,767,281,725,238,85,86,12.027
47,0,768,281,726,238,85,86,11.006
48,0,767,281,725,238,85,86,11.299
49,0,768,281,726,238,85,86,11.987
50,0,767,281,725,238,85,86,275.896
51,0,768,281,726,238,85,86,9.014
52,0,767,281,725,238,85,86,9.865
53,0,768,281,726,238,85,86,9.72
54,0,767,281,725,238,85,86,11.309
55,0,768,281,726,238,85,86,9.354
56,0,767,281,725,238,85,86,9.294
57,0,768,281,726,238,85,86,9.207
58,0,767,281,725,238,85,86,10.026
59,0,768,281,726,238,85,86,10.373
60,0,767,281,725,238,85,86,264.376
61,0,768,281,726,238,85,86,9.199
62,0,767,281,725,238,85,86,9.414
63,0,768,281,726,238,85,86,9.842
64,0,767,281,725,238,85,86,9.333
65,0,768,281,726,238,85,86,9.649
66,0,767,281,725,238,85,86,9.003
67,0,768,281,726,238,85,86,10.209
68,0,767,281,725,238,85,86,10.749
69,0,768,281,726,238,85,86,10.237
70,0,767,281,725,238,85,86,241.315
71,0,768,281,726,238,85,86,12.281
72,0,767,281,725,238,85,86,12.424
73,0,768,281,726,238,85,86,11.68
74,0,767,281,725,238,85,86,11.289
75,0,768,281,726,238,85,86,12.04
76,0,767,281,725,238,85,86,9.109
77,0,768,281,726,238,85,86,9.37
78,0,767,281,725,238,85,86,8.632
79,0,768,281,726,238,85,86,8.949
80,0,767,281,725,238,85,86,205.44
81,0,768,281,726,238,85,86,7.419
82,0,767,281,725,238,85,86,7.687
83,0,768,281,726,238,85,86,7.774
84,0,767,281,725,238,85,86,8.012
85,0,768,281,726,238,85,86,7.863
86,0,767,281,725,238,85,86,8.093
87,0,768,281,726,238,85,86,8.375
88,0,767,281,725,238,85,86,7.718
89,0,768,281,726,238,85,86,8.467
90,0,767,281,725,238,85,86,269.264
91,0,768,281,726,238,85,86,10.254
92,0,767,281,725,238,85,86,10.092
93,0,768,281,726,238,85,86,11.011
94,0,767,281,725,238,85,86,10.289
95,0,768,281,726,238,85,86,11.085
96,0,767,281,725,238,85,86,11.117
97,0,768,281,726,238,85,86,9.266
98,0,767,281,725,238,85,86,10.546
99,0,768,281,726,238,85,86,9.637
100,0,767,281,725,238,85,86,190.764
101,0,768,281,726,238,85,86,8.96
102,0,767,281,725,238,85,86,8.717
103,0,768,281,726,238,85,86,8.919
104,0,767,281,725,238,85,86,8.785
105,0,768,281,726,238,85,86,9.317
106,0,767,281,725,238,85,86,9.51
107,0,768,281,726,238,85,86,8.987
108,0,767,281,725,238,85,86,9.168
109,0,768,281,726,238,85,86,9.208
110,0,767,281,725,238,85,86,223.018
111,0,768,281,726,238,85,86,10.288
112,0,767,281,725,238,85,86,9.854
113,0,768,281,726,238,85,86,9.863
114,0,767,281,725,238,85,86,10.272
115,0,768,281,726,238,85,86,10.786
116,0,767,281,725,238,85,86,10.59
117,0,768,281,726,238,85,86,10.226
118,0,767,281,725,238,85,86,9.533
119,0,768,281,726,238,85,86,11.612
120,0,767,281,725,238,85,86,312.502
121,0,768,281,726,238,85,86,9.661
122,0,767,281,725,238,85,86,9.329
123,0,768,281,726,238,85,86,9.729
124,0,767,281,725,238,85,86,10.527
125,0,768,281,726,238,85,86,10.843
126,0,767,281,725,238,85,86,12.942
127,0,768,281,726,238,85,86,12.016
128,0,767,281,725,238,85,86,11.289
129,0,768,281,726,238,85,86,11.403
130,0,767,281,725,238,85,86,240.578
131,0,768,281,726,238,85,86,9.201
132,0,767,281,725,238,85,86,8.999
133,0,768,281,726,238,85,86,9.59
134,0,767,281,725,238,85,86,9.276
135,0,768,281,726,238,85,86,8.827
136,0,767,281,725,238,85,86,8.934
137,0,768,281,726,238,85,86,8.725
138,0,767,281,725,238,85,86,8.528
139,0,768,281,726,238,85,86,7.806
140,0,767,281,725,238,85,86,197.293
141,0,768,281,726,238,85,86,7.924
142,0,767,281,725,238,85,86,7.825
143,0,768,281,726,238,85,86,7.72
144,0,767,281,725,238,85,86,8.12
145,0,768,281,726,238,85,86,8.686
146,0,767,281,725,238,85,86,7.975
147,0,768,281,726,238,85,86,7.654
148,0,767,281,725,238,85,86,7.913
149,0,768,281,726,238,85,86,7.906
150,0,767,281,725,238,85,86,163.621
151,0,768,281,726,238,85,86,8.062
152,0,767,281,725,238,85,86,7.821
153,0,768,281,726,238,85,86,7.686
154,0,767,281,725,238,85,86,7.647
155,0,768,281,726,238,85,86,7.724
156,0,767,281,725,238,85,86,7.922
157,0,768,281,726,238,85,86,8.102
158,0,767,281,725,238,85,86,7.857
159,0,768,281,726,238,85,86,8.594
160,0,767,281,725,238,85,86,151.847
161,0,768,281,726,238,85,86,7.022
162,0,767,281,725,238,85,86,8.598
163,0,768,281,726,238,85,86,8.55
164,0,767,281,725,238,85,86,9.01
165,0,768,281,726,238,85,86,8.372
166,0,767,281,725,238,85,86,9.136
167,0,768,281,726,238,85,86,9.53
168,0,767,281,725,238,85,86,8.69
169,0,768,281,726,238,85,86,8.979
170,0,767,281,725,238,85,86,203.529
171,0,768,281,726,238,85,86,7.412
172,0,767,281,725,238,85,86,8.446
173,0,768,281,726,238,85,86,9.502
174,0,767,281,725,238,85,86,10.105
175,0,768,281,726,238,85,86,9.351
176,0,767,281,725,238,85,86,11.392
177,0,768,281,726,238,85,86,8.509
178,0,767,281,725,238,85,86,10.02
179,0,768,281,726,238,85,86,9.141
180,0,767,281,725,238,85,86,212.714
181,0,768,281,726,238,85,86,9.874
182,0,767,281,725,238,85,86,9.639
183,0,768,281,726,238,85,86,10.158
184,0,767,281,725,238,85,86,10.166
185,0,768,281,726,238,85,86,9.95
186,0,767,281,725,238,85,86,9.879
187,0,768,281,726,238,85,86,8.67
188,0,767,281,725,238,85,86,9.493
189,0,768,281,726,238,85,86,8.939
190,0,767,281,725,238,85,86,326.192
191,0,768,281,726,238,85,86,8.761
192,0,767,281,725,238,85,86,9.395
193,0,768,281,726,238,85,86,8.7
194,0,767,281,725,238,85,86,8.81
195,0,768,281,726,238,85,86,9.388
196,0,767,281,725,238,85,86,10.35
197,0,768,281,726,238,85,86,9.541
198,0,767,281,725,238,85,86,9.52
199,0,768,281,726,238,85,86,9.002
200,0,767,281,725,238,85,86,169.658
201,0,768,281,726,238,85,86,9.088
202,0,767,281,725,238,85,86,9.366
203,0,768,281,726,238,85,86,9.299
204,0,767,281,725,238,85,86,9.981
205,0,768,281,726,238,85,86,9.474
206,0,767,281,725,238,85,86,9.14
207,0,768,281,726,238,85,86,9.43
208,0,767,281,725,238,85,86,9.622
209,0,768,281,726,238,85,86,8.365
210,0,767,281,725,238,85,86,155.223
211,0,768,281,726,238,85,86,8.171
212,0,767,281,725,238,85,86,8.991
213,0,768,281,726,238,85,86,9.3
214,0,767,281,725,238,85,86,8.833
215,0,768,281,726,238,85,86,7.952
216,0,767,281,725,238,85,86,8.863
217,0,768,281,726,238,85,86,8.855
218,0,767,281,725,238,85,86,7.891
219,0,768,281,726,238,85,86,8.464
220,0,767,281,725,238,85,86,168.758
221,0,768,281,726,238,85,86,7.805
222,0,767,281,725,238,85,86,8.323
223,0,768,281,726,238,85,86,8.471
224,0,767,281,725,238,85,86,8.043
225,0,768,281,726,238,85,86,8.727
226,0,767,281,725,238,85,86,9.051
227,0,768,281,726,238,85,86,8.809
228,0,767,281,725,238,85,86,8.065
229,0,768,281,726,238,85,86,10.774
230,0,767,281,725,238,85,86,125.438
231,0,768,281,726,238,85,86,8.167
232,0,767,281,725,238,85,86,8.424
233,0,768,281,726,238,85,86,8.264
234,0,767,281,725,238,85,86,8.746
235,0,768,281,726,238,85,86,8.824
236,0,767,281,725,238,85,86,8.661
237,0,768,281,726,238,85,86,8.854
238,0,767,281,725,238,85,86,8.851
239,0,768,281,726,238,85,86,9.285
240,0,767,281,725,238,85,86,172.438
241,0,768,281,726,238,85,86,7.694
242,0,767,281,725,238,85,86,8.392
243,0,768,281,726,238,85,86,7.959
244,0,767,281,725,238,85,86,7.447
245,0,768,281,726,238,85,86,8.32
246,0,767,281,725,238,85,86,8.561
247,0,768,281,726,238,85,86,8.008
248,0,767,281,725,238,85,86,8.212
249,0,768,281,726,238,85,86,8.693
250,0,767,281,725,238,85,86,182.675
251,0,768,281,726,238,85,86,7.95
252,0,767,281,725,238,85,86,7.46
253,0,768,281,726,238,85,86,8.368
254,0,767,281,725,238,85,86,8.541
255,0,768,281,726,238,85,86,8.552
256,0,767,281,725,238,85,86,9.534
257,0,768,281,726,238,85,86,10.059
258,0,767,281,725,238,85,86,11.911
259,0,768,281,726,238,85,86,9.793
260,0,767,281,725,238,85,86,224.621
261,0,768,281,726,238,85,86,9.724
262,0,767,281,725,238,85,86,9.376
263,0,768,281,726,238,85,86,8.502
264,0,767,281,725,238,85,86,8.905
265,0,768,281,726,238,85,86,9.775
266,0,767,281,725,238,85,86,9.428
267,0,768,281,726,238,85,86,9.283
268,0,767,281,725,238,85,86,9.149
269,0,768,281,726,238,85,86,9.01
270,0,767,281,725,238,85,86,210.308
271,0,768,281,726,238,85,86,8.398
272,0,767,281,725,238,85,86,9.557
273,0,768,281,726,238,85,86,10.406
274,0,767,281,725,238,85,86,9.784
275,0,768,281,726,238,85,86,10.153
276,0,767,281,725,238,85,86,9.122
277,0,768,281,726,238,85,86,9.497
278,0,767,281,725,238,85,86,9.396
279,0,768,281,726,238,85,86,8.394
280,0,767,281,725,238,85,86,236.918
281,0,768,281,726,238,85,86,7.413
282,0,767,281,725,238,85,86,8.02
283,0,768,281,726,238,85,86,8.08
284,0,767,281,725,238,85,86,8.678
285,0,768,281,726,238,85,86,8.062
286,0,767,281,725,238,85,86,8.569
287,0,768,281,726,238,85,86,8.576
288,0,767,281,725,238,85,86,8.844
289,0,768,281,726,238,85,86,8.613
290,0,767,281,725,238,85,86,188.741
291,0,768,281,726,238,85,86,7.127
292,0,767,281,725,238,85,86,17.124
293,0,768,281,726,238,85,86,8.557
294,0,767,281,725,238,85,86,8.738
295,0,768,281,726,238,85,86,8.567
296,0,767,281,725,238,85,86,10.016
297,0,768,281,726,238,85,86,8.264
298,0,767,281,725,238,85,86,7.834
299,0,768,281,726,238,85,86,8.269
300,0,767,281,725,238,85,86,211.46
301,0,768,281,726,238,85,86,8.665
302,0,767,281,725,238,85,86,9.15
303,0,768,281,726,238,85,86,9.504
304,0,767,281,725,238,85,86,9.157
305,0,768,281,726,238,85,86,9.239
306,0,767,281,725,238,85,86,9.728
307,0,768,281,726,238,85,86,9.36
308,0,767,281,725,238,85,86,10.094
309,0,768,281,726,238,85,86,9.976
310,0,767,281,725,238,85,86,182.583
311,0,768,281,726,238,85,86,8.289
312,0,767,281,725,238,85,86,9.312
313,0,768,281,726,238,85,86,10.148
314,0,767,281,725,238,85,86,9.548
315,0,768,281,726,238,85,86,9.254
316,0,767,281,725,238,85,86,9.677
317,0,768,281,726,238,85,86,10.171
318,0,767,281,725,238,85,86,10.71
319,0,768,281,726,238,85,86,12.134
320,0,767,281,725,238,85,86,296.709
321,0,768,281,726,238,85,86,8.782
322,0,767,281,725,238,85,86,9.114
323,0,768,281,726,238,85,86,9.277
324,0,767,281,725,238,85,86,9.334
325,0,768,281,726,238,85,86,9.477
326,0,767,281,725,238,85,86,9.954
327,0,768,281,726,238,85,86,9.237
328,0,767,281,725,238,85,86,9.289
329,0,768,281,726,238,85,86,8.644
330,0,767,281,725,238,85,86,176.576
331,0,768,281,726,238,85,86,7.034
332,0,767,281,725,238,85,86,7.769
333,0,768,281,726,238,85,86,8.424
334,0,767,281,725,238,85,86,8.244
335,0,768,281,726,238,85,86,8.302
336,0,767,281,725,238,85,86,8.37
337,0,768,281,726,238,85,86,9.043
338,0,767,281,725,238,85,86,8.504
339,0,768,281,726,238,85,86,9.047
340,0,767,281,725,238,85,86,162.835
341,0,768,281,726,238,85,86,8.217
342,0,767,281,725,238,85,86,8.1
343,0,768,281,726,238,85,86,8.264
344,0,767,281,725,238,85,86,8.367
345,0,768,281,726,238,85,86,8.716
346,0,767,281,725,238,85,86,9.569
347,0,768,281,726,238,85,86,8.043
348,0,767,281,725,238,85,86,8.736
349,0,768,281,726,238,85,86,8.87
350,0,767,281,725,238,85,86,177.719
351,0,768,281,726,238,85,86,8.295
352,0,767,281,725,238,85,86,8.037
353,0,768,281,726,238,85,86,8.198
354,0,767,281,725,238,85,86,9.227
355,0,768,281,726,238,85,86,8.472
356,0,767,281,725,238,85,86,8.701
357,0,768,281,726,238,85,86,8.752
358,0,767,281,725,238,85,86,9.107
359,0,768,281,726,238,85,86,7.996
360,0,767,281,725,238,85,86,143.179
361,0,768,281,726,238,85,86,9.046
362,0,767,281,725,238,85,86,9.557
363,0,768,281,726,238,85,86,9.524
364,0,767,281,725,238,85,86,10.133
365,0,768,281,726,238,85,86,9.001
366,0,767,281,725,238,85,86,9.637
367,0,768,281,726,238,85,86,9.886
368,0,767,281,725,238,85,86,10.059
369,0,768,281,726,238,85,86,9.145
370,0,767,281,725,238,85,86,135.455
371,0,768,281,726,238,85,86,8.875
372,0,767,281,725,238,85,86,9.47
373,0,768,281,726,238,85,86,9.668
374,0,767,281,725,238,85,86,9.539
375,0,768,281,726,238,85,86,9.086
376,0,767,281,725,238,85,86,8.722
377,0,768,281,726,238,85,86,8.059
378,0,767,281,725,238,85,86,7.931
379,0,768,281,726,238,85,86,9.347
380,0,767,281,725,238,85,86,192.793
381,0,768,281,726,238,85,86,12.529
382,0,767,281,725,238,85,86,9.9
383,0,768,281,726,238,85,86,9.582
384,0,767,281,725,238,85,86,10.213
385,0,768,281,726,238,85,86,10.939
386,0,767,281,725,238,85,86,10.667
387,0,768,281,726,238,85,86,10.355
388,0,767,281,725,238,85,86,9.803
