frame,id,cx,cy,x,y,w,h,proc_ms
1,0,1130,843,1106,826,49,35,155.329
2,0,1130,843,1106,826,49,35,4.99
3,0,1130,842,1106,825,49,35,5.632
4,0,1130,842,1106,825,49,35,5.123
5,0,1130,842,1106,825,49,35,7.561
6,0,1130,842,1106,825,49,35,4.612
7,0,1130,842,1106,825,49,35,5.194
8,0,1130,842,1106,825,49,35,5.068
9,0,1130,842,1106,825,49,35,5.831
10,0,1130,841,1106,824,49,35,185.097
11,0,1130,841,1106,824,49,35,8.099
12,0,1130,841,1106,824,49,35,7.138
13,0,1130,841,1106,824,49,35,5.813
14,0,1130,841,1106,824,49,35,5.289
15,0,1130,841,1106,824,49,35,5.379
16,0,1130,841,1106,824,49,35,5.723
17,0,1130,841,1106,824,49,35,5.428
18,0,1130,841,1106,824,49,35,5.277
19,0,1130,841,1106,824,49,35,5.475
20,0,1130,841,1106,824,49,35,158.949
21,0,1130,841,1106,824,49,35,5.063
22,0,1129,841,1105,824,49,35,4.964
23,0,1130,841,1106,824,49,35,4.461
24,0,1129,841,1105,824,49,35,4.591
25,0,1130,841,1106,824,49,35,4.659
26,0,1129,841,1105,824,49,35,5.237
27,0,1130,841,1106,824,49,35,5.422
28,0,1129,841,1105,824,49,35,5.051
29,0,1130,841,1106,824,49,35,5.543
30,0,1129,841,1105,824,49,35,159.14
31,0,1130,841,1106,824,49,35,5.648
32,0,1129,841,1105,824,49,35,5.964
33,0,1130,841,1106,824,49,35,5.417
34,0,1129,841,1105,824,49,35,5.053
35,0,1130,841,1106,824,49,35,4.676
36,0,1129,841,1105,824,49,35,4.688
37,0,1130,841,1106,824,49,35,4.751
38,0,1129,841,1105,824,49,35,4.788
39,0,1130,841,1106,824,49,35,4.522
40,0,1129,841,1105,824,49,35,155.294
41,0,1130,841,1106,824,49,35,6.145
42,0,1129,841,1105,824,49,35,4.848
43,0,1130,841,1106,824,49,35,4.607
44,0,1129,841,1105,824,49,35,4.64
45,0,1130,841,1106,824,49,35,4.386
46,0,1129,841,1105,824,49,35,4.905
47,0,1130,841,1106,824,49,35,5.161
48,0,1129,841,1105,824,49,35,5.066
49,0,1130,841,1106,824,49,35,5.587
50,0,1129,841,1105,824,49,35,154.55
51,0,1130,841,1106,824,49,35,5.003
52,0,1129,841,1105,824,49,35,5.076
53,0,1130,841,1106,824,49,35,15.515
54,0,1129,841,1105,824,49,35,5.485
55,0,1130,841,1106,824,49,35,5.627
56,0,1129,841,1105,824,49,35,5.654
57,0,1130,841,1106,824,49,35,5.598
58,0,1129,841,1105,824,49,35,5.524
59,0,1130,841,1106,824,49,35,5.883
60,0,1129,841,1105,824,49,35,169.281
61,0,1130,841,1106,824,49,35,6.499
62,0,1129,841,1105,824,49,35,5.568
63,0,1130,841,1106,824,49,35,5.556
64,0,1129,841,1105,824,49,35,5.93
65,0,1130,841,1106,824,49,35,5.895
66,0,1129,841,1105,824,49,35,6.497
67,0,1130,841,1106,824,49,35,8.057
68,0,1129,841,1105,824,49,35,5.886
69,0,1130,841,1106,824,49,35,7.926
70,0,1129,841,1105,824,49,35,181.518
71,0,1130,841,1106,824,49,35,5.926
72,0,1129,841,1105,824,49,35,5.356
73,0,1130,841,1106,824,49,35,4.941
74,0,1129,841,1105,824,49,35,4.645
75,0,1130,841,1106,824,49,35,5.512
76,0,1129,841,1105,824,49,35,7.305
77,0,1130,841,1106,824,49,35,6.564
78,0,1129,841,1105,824,49,35,5.166
79,0,1130,841,1106,824,49,35,5.973
80,0,1129,841,1105,824,49,35,188.344
81,0,1130,841,1106,824,49,35,5.568
82,0,1129,841,1105,824,49,35,6.01
83,0,1130,841,1106,824,49,35,6.837
84,0,1129,841,1105,824,49,35,5.772
85,0,1130,841,1106,824,49,35,5.448
86,0,1129,841,1105,824,49,35,5.057
87,0,1130,841,1106,824,49,35,5.051
88,0,1129,841,1105,824,49,35,4.63
89,0,1130,841,1106,824,49,35,4.489
90,0,1129,841,1105,824,49,35,216.406
91,0,1130,841,1106,824,49,35,6.234
92,0,1129,841,1105,824,49,35,5.923
93,0,1130,841,1106,824,49,35,4.776
94,0,1129,841,1105,824,49,35,4.87
95,0,1130,841,1106,824,49,35,4.838
96,0,1129,841,1105,824,49,35,5.016
97,0,1130,841,1106,824,49,35,4.926
98,0,1129,841,1105,824,49,35,4.824
99,0,1130,841,1106,824,49,35,4.826
100,0,1129,841,1105,824,49,35,158.531
101,0,1130,841,1106,824,49,35,5.217
102,0,1129,841,1105,824,49,35,6.366
103,0,1130,841,1106,824,49,35,6.025
104,0,1129,841,1105,824,49,35,5.977
105,0,1130,841,1106,824,49,35,4.712
106,0,1129,841,1105,824,49,35,4.722
107,0,1130,841,1106,824,49,35,4.646
108,0,1129,841,1105,824,49,35,4.742
109,0,1130,841,1106,824,49,35,4.815
110,0,1129,841,1105,824,49,35,155.684
111,0,1130,841,1106,824,49,35,6.016
112,0,1129,841,1105,824,49,35,5.742
113,0,1130,841,1106,824,49,35,5.659
114,0,1129,841,1105,824,49,35,5.986
115,0,1130,841,1106,824,49,35,4.985
116,0,1129,841,1105,824,49,35,5.753
117,0,1130,841,1106,824,49,35,5.011
118,0,1129,841,1105,824,49,35,5.521
119,0,1130,841,1106,824,49,35,5.272
120,0,1129,841,1105,824,49,35,185.785
121,0,1130,841,1106,824,49,35,5.528
122,0,1129,841,1105,824,49,35,5.482
123,0,1130,841,1106,824,49,35,5.527
124,0,1129,841,1105,824,49,35,6.294
125,0,1130,841,1106,824,49,35,6.319
126,0,1129,841,1105,824,49,35,5.156
127,0,1130,841,1106,824,49,35,5.518
128,0,1129,841,1105,824,49,35,5.63
129,0,1130,841,1106,824,49,35,5.587
130,0,1129,841,1105,824,49,35,195.12
131,0,1130,841,1106,824,49,35,6.622
132,0,1129,841,1105,824,49,35,5.889
133,0,1130,841,1106,824,49,35,6.57
134,0,1129,841,1105,824,49,35,7.958
135,0,1130,841,1106,824,49,35,7.104
136,0,1129,841,1105,824,49,35,7.549
