frame,id,cx,cy,x,y,w,h,proc_ms
0,0,769,281,727,238,85,86,559.875
1,0,769,281,727,238,85,86,14.854
2,0,768,281,726,238,85,86,17.709
3,0,768,281,726,238,85,86,10.496
4,0,768,281,726,238,85,86,9.861
5,0,768,281,726,238,85,86,11.865
6,0,768,281,726,238,85,86,10.179
7,0,768,281,726,238,85,86,12.111
8,0,768,281,726,238,85,86,10.111
9,0,768,281,726,238,85,86,9.934
10,0,768,281,726,238,85,86,316.804
11,0,768,281,726,238,85,86,8.706
12,0,768,281,726,238,85,86,11.079
13,0,768,281,726,238,85,86,10.586
14,0,768,281,726,238,85,86,9.348
15,0,768,281,726,238,85,86,10.036
16,0,767,281,725,238,85,86,10.307
17,0,768,281,726,238,85,86,10.578
18,0,767,281,725,238,85,86,10.071
19,0,768,281,726,238,85,86,9.466
20,0,767,281,725,238,85,86,303.434
21,0,768,281,726,238,85,86,9.499
22,0,767,281,725,238,85,86,8.643
23,0,768,281,726,238,85,86,9.297
24,0,767,281,725,238,85,86,9.69
25,0,768,281,726,238,85,86,9.776
26,0,767,281,725,238,85,86,9.138
27,0,768,281,726,238,85,86,9.386
28,0,767,281,725,238,85,86,7.947
29,0,768,281,726,238,85,86,10.063
30,0,767,281,725,238,85,86,193.197
31,0,768,281,726,238,85,86,9.857
32,0,767,281,725,238,85,86,9.452
33,0,768,281,726,238,85,86,8.93
34,0,767,281,725,238,85,86,8.388
35,0,768,281,726,238,85,86,8.84
36,0,767,281,725,238,85,86,9.428
37,0,768,281,726,238,85,86,12.392
38,0,767,281,725,238,85,86,11.105
39,0,768,281,726,238,85,86,9.666
40,0,767,281,725,238,85,86,181.454
41,0,768,281,726,238,85,86,9.109
42,0,767,281,725,238,85,86,8.39
43,0,768,281,726,238,85,86,7.775
44,0,767,281,725,238,85,86,9.171
45,0,768,281,726,238,85,86,8.11
46,0,767,281,725,238,85,86,9.466
47,0,768,281,726,238,85,86,8.313
48,0,767,281,725,238,85,86,9.081
49,0,768,281,726,238,85,86,8.879
50,0,767,281,725,238,85,86,188.32
51,0,768,281,726,238,85,86,8.754
52,0,767,281,725,238,85,86,9.603
53,0,768,281,726,238,85,86,8.524
54,0,767,281,725,238,85,86,10.018
55,0,768,281,726,238,85,86,13.662
56,0,767,281,725,238,85,86,11.226
57,0,768,281,726,238,85,86,10.922
58,0,767,281,725,238,85,86,10.412
59,0,768,281,726,238,85,86,11.548
60,0,767,281,725,238,85,86,224.534
61,0,768,281,726,238,85,86,9.312
