frame,id,cx,cy,x,y,w,h,proc_ms
0,0,746,316,679,283,135,66,130.204
1,0,746,316,679,283,135,66,5.423
2,0,746,316,679,283,135,66,5.483
3,0,746,316,679,283,135,66,7.248
4,0,746,316,679,283,135,66,4.782
5,0,746,316,679,283,135,66,4.963
6,0,746,316,679,283,135,66,6.018
7,0,746,316,679,283,135,66,5.983
8,0,746,316,679,283,135,66,5.699
9,0,746,316,679,283,135,66,5.151
10,0,746,316,679,283,135,66,111.482
11,0,745,316,678,283,135,66,5.655
12,0,746,316,679,283,135,66,6.023
13,0,745,316,678,283,135,66,5.961
14,0,746,316,679,283,135,66,7.215
15,0,745,316,678,283,135,66,6.229
16,0,746,316,679,283,135,66,9.787
17,0,745,316,678,283,135,66,9.823
18,0,746,316,679,283,135,66,7.329
19,0,745,316,678,283,135,66,5.09
20,0,746,316,679,283,135,66,94.566
21,0,745,316,678,283,135,66,6.549
22,0,746,316,679,283,135,66,5.027
23,0,745,316,678,283,135,66,5.434
24,0,746,316,679,283,135,66,5.54
25,0,745,316,678,283,135,66,6.377
26,0,746,316,679,283,135,66,5.936
27,0,745,316,678,283,135,66,5.48
28,0,746,316,679,283,135,66,5.367
29,0,745,316,678,283,135,66,5.778
30,0,746,316,679,283,135,66,129.229
31,0,745,316,678,283,135,66,6.193
32,0,746,316,679,283,135,66,5.869
33,0,745,316,678,283,135,66,5.817
34,0,746,316,679,283,135,66,7.089
35,0,745,316,678,283,135,66,5.606
36,0,746,316,679,283,135,66,6.592
37,0,745,316,678,283,135,66,6.508
38,0,746,316,679,283,135,66,5.871
39,0,745,316,678,283,135,66,5.602
40,0,746,316,679,283,135,66,88.243
41,0,745,316,678,283,135,66,6.312
42,0,746,316,679,283,135,66,5.548
43,0,745,316,678,283,135,66,6.444
44,0,746,316,679,283,135,66,6.104
45,0,745,316,678,283,135,66,5.643
46,0,746,316,679,283,135,66,5.428
47,0,745,316,678,283,135,66,5.353
48,0,746,316,679,283,135,66,5.689
49,0,745,316,678,283,135,66,5.559
50,0,746,316,679,283,135,66,110.968
51,0,745,316,678,283,135,66,5.758
52,0,746,316,679,283,135,66,5.428
53,0,745,316,678,283,135,66,5.325
54,0,746,316,679,283,135,66,5.384
55,0,745,316,678,283,135,66,5.492
56,0,746,316,679,283,135,66,7.213
57,0,745,316,678,283,135,66,5.432
58,0,746,316,679,283,135,66,4.75
59,0,745,316,678,283,135,66,5.476
60,0,746,316,679,283,135,66,136.029
61,0,745,316,678,283,135,66,4.951
62,0,746,316,679,283,135,66,4.659
63,0,745,316,678,283,135,66,4.625
64,0,746,316,679,283,135,66,5.121
65,0,745,316,678,283,135,66,4.904
66,0,746,316,679,283,135,66,5.044
67,0,745,316,678,283,135,66,5.331
68,0,746,316,679,283,135,66,5.548
69,0,745,316,678,283,135,66,5.268
70,0,746,316,679,283,135,66,171.27
71,0,745,316,678,283,135,66,4.787
72,0,746,316,679,283,135,66,4.738
73,0,745,316,678,283,135,66,4.546
74,0,746,316,679,283,135,66,5.63
75,0,745,316,678,283,135,66,4.533
76,0,746,316,679,283,135,66,4.927
77,0,745,316,678,283,135,66,4.914
78,0,746,316,679,283,135,66,5.162
79,0,745,316,678,283,135,66,5.21
80,0,746,316,679,283,135,66,104.233
81,0,745,316,678,283,135,66,5.223
82,0,746,316,679,283,135,66,4.63
83,0,745,316,678,283,135,66,4.645
84,0,746,316,679,283,135,66,4.545
85,0,745,316,678,283,135,66,7.067
86,0,746,316,679,283,135,66,5.578
87,0,745,316,678,283,135,66,5.331
88,0,746,316,679,283,135,66,4.944
89,0,745,316,678,283,135,66,5.094
90,0,746,316,679,283,135,66,107.56
91,0,745,316,678,283,135,66,5.248
92,0,746,316,679,283,135,66,4.947
93,0,745,316,678,283,135,66,5.375
94,0,746,316,679,283,135,66,7.604
95,0,745,316,678,283,135,66,5.69
96,0,746,316,679,283,135,66,6.161
97,0,745,316,678,283,135,66,5.523
98,0,746,316,679,283,135,66,7.791
99,0,745,316,678,283,135,66,6.801
